Anagram_ID,Anagram_LANGUAGE,Word_01,Word_02,Word_03,Word_04,Word_05,Word_06,Word_07,Word_08,Word_09,Word_10
1,American English,MOTHER,THERMO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,American English,BLUE,LUBE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,American English,PROTEIN,POINTER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,American English,SOLDIER,SOLIDER,DELORIS,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,American English,PRINTER,REPRINT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,American English,INSULT,SUNLIT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,American English,SPIDER,SPIRED,PRISED,PRIDES,NULL,NULL,NULL,NULL,NULL,NULL
8,American English,BOARD,BROAD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,American English,MINUTE,MINUET,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,American English,PLAYER,PARLEY,PEARLY,REPLAY,NULL,NULL,NULL,NULL,NULL,NULL
11,American English,CODER,CORED,CREDO,DECOR,NULL,NULL,NULL,NULL,NULL,NULL
12,American English,POST,POTS,OPTS,SPOT,STOP,TOPS,NULL,NULL,NULL,NULL
13,American English,RESORT,RETROS,ROSTER,SORTER,STORER,TORRES,NULL,NULL,NULL,NULL
14,American English,ISLET,LITES,TILES,STILE,NULL,NULL,NULL,NULL,NULL,NULL
15,American English,EARTH,ERTHA,RETHA,RHETA,HEART,HERTA,HARTE,HATER,NULL,NULL
16,American English,EDIT,DIET,TEDI,TIED,TIDE,NULL,NULL,NULL,NULL,NULL
17,American English,NAME,AMEN,MANE,MEAN,NULL,NULL,NULL,NULL,NULL,NULL
18,American English,LAST,LATS,ALTS,SLAT,SALT,NULL,NULL,NULL,NULL,NULL
19,American English,MEDICAL,MALICED,DECIMAL,DECLAIM,CLAIMED,NULL,NULL,NULL,NULL,NULL
20,American English,SONIC,SCION,ICONS,COINS,NULL,NULL,NULL,NULL,NULL,NULL
21,American English,BOREDOM,BROOMED,BEDROOM,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,American English,PEAR,PARE,EARP,APER,REAP,RAPE,NULL,NULL,NULL,NULL
23,American English,ORACLE,COALER,CAROLE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,American English,CLEAR,CLARE,LACER,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,American English,RACE,ACRE,ACER,CARE,NULL,NULL,NULL,NULL,NULL,NULL
26,American English,CROSSER,RECROSS,SCORERS,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,American English,FARMER,FRAMER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,American English,ARTIST,TRAITS,TRISTA,STRAIT,STRATI,NULL,NULL,NULL,NULL,NULL
29,American English,VIEWS,WIVES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,American English,RESULT,RUSTLE,SUTLER,ULSTER,LUSTER,NULL,NULL,NULL,NULL,NULL
31,American English,TESTER,STREET,SETTER,RETEST,NULL,NULL,NULL,NULL,NULL,NULL
32,American English,FILTER,LIFTER,TRIFLE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,American English,TABLE,BLEAT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,American English,ENTER,NERTE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,American English,CHAT,ACTH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,American English,ACHE,EACH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,American English,NEAR,EARN,ERNA,ERAN,ARNE,RENA,NULL,NULL,NULL,NULL
38,American English,DRIVE,DIVER,RIVED,VERDI,NULL,NULL,NULL,NULL,NULL,NULL
39,American English,REPAIR,RAPIER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,American English,SLAM,LAMS,ALMS,NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,American English,TIME,ITEM,MITE,EMIT,NULL,NULL,NULL,NULL,NULL,NULL
42,American English,DROP,PROD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,American English,VIEW,WIVE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,American English,ROAST,ROTAS,ASTOR,SORTA,SARTO,TAROS,NULL,NULL,NULL,NULL
45,American English,PROCEDURE,REPRODUCE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46,American English,MADRAS,DRAMAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
